"inner_group,region,subgroup1,subgroup,the_group,type_group,amount,date_key,budget,type,date,currency",,
"Voice ,Existing Source,Direct Cost,COE,Voice,Trading Wholesale Business,23681993,202208,2","02596E+12,YTD,Aug  1 2022 12:00AM,IDR",
"Voice,Existing Source,Revenue,Revenue,Digital Business,Trading Wholesale Business,-154795487,202208,32671863927,MTD,Aug  1 2022 12:00AM,IDR",,
"Discount,Existing Source,Revenue,Revenue,MVNO,Retail,5962411107,202208,-583014743","6,MTD,Aug  1 2022 12:00AM,IDR",
"Voice,Existing Source,Revenue,Revenue,MVNO,Retail,-925916301,202208,1","17707E+14,MTD,Aug  1 2022 12:00AM,IDR",
"Security,Existing Source,Direct Cost,COE,Digital Business,Recurring Business,6954200112,202209,7972222384,MTD,Sep  1 2022 12:00AM,IDR",,
"Infrastructure,Existing Source,Direct Cost,COE,Data,Recurring Business,37516968303,202209,0,YTD,Sep  1 2022 12:00AM,IDR",,
"IPLC/IEPL,Existing Source,Direct Cost,COE,Data,Recurring Business,1","88062E+11,202209,1","92024E+11,YTD,Sep  1 2022 12:00AM,IDR"
"iSMS Hubbing,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,1","87711E+12,202209,1","62904E+12,YTD,Sep  1 2022 12:00AM,IDR"
"Fee,Existing Source,Direct Cost,COE,MVNO,Retail,566220551,202209,663135576","9,YTD,Sep  1 2022 12:00AM,IDR",
"Personnel ,Existing Source,Indirect Cost,COE,Personnel Expense,,3","79408E+11,202209,4","15338E+11,YTD,Sep  1 2022 12:00AM,IDR"
"Voice ,Existing Source,Direct Cost,COE,Voice,Trading Wholesale Business,4301700869,202209,9296122134,MTD,Sep  1 2022 12:00AM,IDR",,
"CPaaS,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,159473847,202305,159473847,YTD,May  1 2023 12:00AM,IDR",,
"Data Center ,Existing Source,Direct Cost,COE,Data Center,Recurring Business,50215837870,202305,502158378,MTD,May  1 2023 12:00AM,IDR",,
"Data Center,Existing Source,Direct Cost,COE,Data Center,Recurring Business,480846135,202305,480846135,MTD,May  1 2023 12:00AM,IDR",,
"IP Transit,Existing Source,Direct Cost,COE,Data,Recurring Business,1","80765E+11,202305,1807650000,YTD,May  1 2023 12:00AM,IDR",
"Marketing ,Existing Source,Indirect Cost,COE,Marketing Expense,,6531307869,202305,6531307869,MTD,May  1 2023 12:00AM,IDR",,
