inner_group,region,subgroup1,subgroup,the_group,type_group,amount,date_key,budget,type,date,currency
Voice Hubbing,Existing Source,Direct Cost,COE,Voice,Trading Wholesale Business,2368199370466,202208,2025964566278.43,YTD,Aug  1 2022 12:00AM,IDR
IAT,Existing Source,Revenue,Revenue,Digital Business,Trading Wholesale Business,-154795487,202208,0,MTD,Aug  1 2022 12:00AM,IDR
MVNO Discount,Existing Source,Revenue,Revenue,MVNO,Retail,596241107,202208,-583014743.589743,MTD,Aug  1 2022 12:00AM,IDR
MVNO Voice,Existing Source,Revenue,Revenue,MVNO,Retail,-925916301,202208,1177070907.14362,MTD,Aug  1 2022 12:00AM,IDR
CDN & Security,Existing Source,Direct Cost,COE,Digital Business,Recurring Business,6954200112,202209,7972222384.42974,MTD,Sep  1 2022 12:00AM,IDR
CDN Infrastructure,Existing Source,Direct Cost,COE,Data,Recurring Business,37516968303,202209,0,YTD,Sep  1 2022 12:00AM,IDR
IPLC/IEPL,Existing Source,Direct Cost,COE,Data,Recurring Business,188062332266,202209,192024356574.68,YTD,Sep  1 2022 12:00AM,IDR
iSMS Hubbing,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,1877112441573,202209,1629037609810.79,YTD,Sep  1 2022 12:00AM,IDR
MVNO Fee,Existing Source,Direct Cost,COE,MVNO,Retail,566220551,202209,663135576.923077,YTD,Sep  1 2022 12:00AM,IDR
Personnel Expense,Existing Source,Indirect Cost,COE,Personnel Expense,,379407962407,202209,415337536528.296,YTD,Sep  1 2022 12:00AM,IDR
Voice Incoming,Existing Source,Direct Cost,COE,Voice,Trading Wholesale Business,4301700869,202209,9296122134.41667,MTD,Sep  1 2022 12:00AM,IDR
CPaaS,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,159473847,202305,159473847,YTD,May  1 2023 12:00AM,IDR
Data Center Colocation and Power,Existing Source,Direct Cost,COE,Data Center,Recurring Business,50215837870,202305,50215837870,MTD,May  1 2023 12:00AM,IDR
