service_number,customer_name,date_key,amount,kurs,inner_group,subgroup,subgroup1,product_name,partner,type
E2100374,Pertamina,202111,208269000,IDR,CDN & Security,COE,Direct Cost,CDN Sales Akamai,Akamai,YTD
E2100374,Pertamina,202112,208269000,IDR,CDN & Security,COE,Direct Cost,CDN Sales Akamai,Akamai,YTD
E2100394,TVRI,202101,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Edgecast,Edgio,YTD
E2100394,TVRI,202102,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Edgecast,Edgio,YTD
E2100394,TVRI,202103,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Edgecast,Edgio,YTD
E2100394,TVRI,202104,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Edgecast,Edgio,YTD
E2100394,TVRI,202105,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Edgecast,Edgio,YTD
E2100394,TVRI,202106,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Edgecast,Edgio,YTD
E2100394,TVRI,202107,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Edgecast,Edgio,YTD
E2100394,TVRI,202108,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Edgecast,Edgio,YTD
E2100394,TVRI,202109,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Edgecast,Edgio,YTD
E2100394,TVRI,202110,5532760,IDR,CDN & Security,COE,Direct Cost,CDN Sales Edgecast,Edgio,YTD
E2100394,TVRI,202111,11065520,IDR,CDN & Security,COE,Direct Cost,CDN Sales Edgecast,Edgio,YTD
E2100394,TVRI,202112,11065520,IDR,CDN & Security,COE,Direct Cost,CDN Sales Edgecast,Edgio,YTD
E2200038,Dewan Perwakilan Rakyat,202101,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Akamai,Akamai,YTD
E2200038,Dewan Perwakilan Rakyat,202102,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Akamai,Akamai,YTD
E2200038,Dewan Perwakilan Rakyat,202103,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Akamai,Akamai,YTD
E2200038,Dewan Perwakilan Rakyat,202104,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Akamai,Akamai,YTD
E2200038,Dewan Perwakilan Rakyat,202105,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Akamai,Akamai,YTD
E2200038,Dewan Perwakilan Rakyat,202106,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Akamai,Akamai,YTD
E2200038,Dewan Perwakilan Rakyat,202107,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Akamai,Akamai,YTD
E2200038,Dewan Perwakilan Rakyat,202108,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Akamai,Akamai,YTD
E2200038,Dewan Perwakilan Rakyat,202109,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Akamai,Akamai,YTD
E2200038,Dewan Perwakilan Rakyat,202110,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Akamai,Akamai,YTD
E2200038,Dewan Perwakilan Rakyat,202111,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Akamai,Akamai,YTD
E2200038,Dewan Perwakilan Rakyat,202112,0,IDR,CDN & Security,COE,Direct Cost,CDN Sales Akamai,Akamai,YTD
R2000307,PT MELON INDONESIA,202306,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Conversant,Conversant,YTD
R2000307,PT MELON INDONESIA,202307,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Conversant,Conversant,YTD
R2000307,PT MELON INDONESIA,202308,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Conversant,Conversant,YTD
R2000307,PT MELON INDONESIA,202309,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Conversant,Conversant,YTD
R2000307,PT MELON INDONESIA,202310,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Conversant,Conversant,YTD
R2000307,PT MELON INDONESIA,202311,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Conversant,Conversant,YTD
R2000307,PT MELON INDONESIA,202312,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Conversant,Conversant,YTD
R2000341,Telkom DIT,202301,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Akamai,Akamai,YTD
R2000341,Telkom DIT,202302,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Akamai,Akamai,YTD
R2000341,Telkom DIT,202303,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Akamai,Akamai,YTD
R2000341,Telkom DIT,202304,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Akamai,Akamai,YTD
R2000341,Telkom DIT,202305,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Akamai,Akamai,YTD
R2000341,Telkom DIT,202306,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Akamai,Akamai,YTD
R2000341,Telkom DIT,202307,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Akamai,Akamai,YTD
R2000341,Telkom DIT,202308,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Akamai,Akamai,YTD
R2000341,Telkom DIT,202309,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Akamai,Akamai,YTD
R2000341,Telkom DIT,202310,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Akamai,Akamai,YTD
R2000341,Telkom DIT,202311,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Akamai,Akamai,YTD
R2000341,Telkom DIT,202312,0,IDR,CDN & Security,Revenue,Revenue,CDN Sales Akamai,Akamai,YTD
R2100051,Vidio.com,202301,0,IDR,CDN & Security,Revenue,Revenue,Web Performance Akamai,Akamai,YTD
R2100051,Vidio.com,202302,0,IDR,CDN & Security,Revenue,Revenue,Web Performance Akamai,Akamai,YTD
R2100051,Vidio.com,202303,0,IDR,CDN & Security,Revenue,Revenue,Web Performance Akamai,Akamai,YTD
R2100051,Vidio.com,202304,0,IDR,CDN & Security,Revenue,Revenue,Web Performance Akamai,Akamai,YTD
R2100051,Vidio.com,202305,-877464955,IDR,CDN & Security,Revenue,Revenue,Web Performance Akamai,Akamai,YTD
R2100051,Vidio.com,202306,-877464955,IDR,CDN & Security,Revenue,Revenue,Web Performance Akamai,Akamai,YTD
R2100051,Vidio.com,202307,-877464955,IDR,CDN & Security,Revenue,Revenue,Web Performance Akamai,Akamai,YTD
R2100051,Vidio.com,202308,-877464955,IDR,CDN & Security,Revenue,Revenue,Web Performance Akamai,Akamai,YTD
R2100051,Vidio.com,202309,-877464955,IDR,CDN & Security,Revenue,Revenue,Web Performance Akamai,Akamai,YTD
R2100051,Vidio.com,202310,-877464955,IDR,CDN & Security,Revenue,Revenue,Web Performance Akamai,Akamai,YTD
R2100051,Vidio.com,202311,-877464955,IDR,CDN & Security,Revenue,Revenue,Web Performance Akamai,Akamai,YTD
