date_key,customer,bandwidth,subgroup,subgroup1,the_group,inner_group,inex,currency,type,date
202201,Level 3 Communication,0,Revenue,Revenue,Data,Other Data,External,USD,MTD,2022-01-01 00:00:00.000
202201,Orange Business Services,50,Revenue,Revenue,Data,IP Transit,External,USD,MTD,2022-01-01 00:00:00.000
202201,Orange Business Services,0,Revenue,Revenue,Data,Other Data,External,USD,MTD,2022-01-01 00:00:00.000
202201,PCCW,757,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-01-01 00:00:00.000
202201,PLDT,0,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-01-01 00:00:00.000
202201,Singapore Telecom,200145,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-01-01 00:00:00.000
202201,Telkom DES,246,Revenue,Revenue,Data,IPLC/IEPL,Internal,IDR,MTD,2022-01-01 00:00:00.000
202401,Vodafone,172000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2024-01-01 00:00:00.000
202402,Amazon,100,Revenue,Revenue,Data,IP VPN,External,IDR,MTD,2024-02-01 00:00:00.000
202402,China Unicom,0,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2024-02-01 00:00:00.000
202402,Epsilon Telecommunication,10000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2024-02-01 00:00:00.000
202402,GTT Communications,10000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2024-02-01 00:00:00.000
202402,Infotek Global Network,1000,Revenue,Revenue,Data,IP Transit,External,IDR,MTD,2024-02-01 00:00:00.000
202402,"Innove Communication, Inc",10000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2024-02-01 00:00:00.000
202402,PCCW,0,Revenue,Revenue,Data,Other Data,External,USD,MTD,2024-02-01 00:00:00.000
202402,PT. Artha Dana Teknologi,50,Revenue,Revenue,Data,IPLC/IEPL,External,IDR,MTD,2024-02-01 00:00:00.000
202402,Singapore Telecom,200129,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2024-02-01 00:00:00.000
202402,Tata Communications,100004,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2024-02-01 00:00:00.000
202402,Telco Allied Singapore,10,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2024-02-01 00:00:00.000
202402,Verizon,133,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2024-02-01 00:00:00.000
202402,Vodafone,172000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2024-02-01 00:00:00.000
202403,Akamai International B.V,1850000,Revenue,Revenue,Data,CDN Infrastructure,External,USD,MTD,2024-03-01 00:00:00.000
202403,Amazon,100,Revenue,Revenue,Data,IP VPN,External,IDR,MTD,2024-03-01 00:00:00.000
202403,China Telecom,50,Revenue,Revenue,Data,IPLC/IEPL,External,IDR,MTD,2024-03-01 00:00:00.000
202403,Edgecast Networks,0,Revenue,Revenue,Data,CDN Infrastructure,External,USD,MTD,2024-03-01 00:00:00.000
202403,Expereo,361,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2024-03-01 00:00:00.000
202403,GTT Communications,10000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2024-03-01 00:00:00.000
202403,Netflix,100,Revenue,Revenue,Data,Other Data,External,USD,MTD,2024-03-01 00:00:00.000
202403,Orange Business Services,100,Revenue,Revenue,Data,IP Transit,External,USD,MTD,2024-03-01 00:00:00.000
