dim_month,customer_name,product_name,usage_value,usage_unit,partner,type
202206,Hoobex,CDN Sales Edgecast,0,GB,Edgio,MTD
202208,TVRI,CDN Sales Edgecast,1973220.54,GB,Edgio,MTD
202209,TVRI,CDN Sales Edgecast,2036226.18,GB,Edgio,MTD
202210,Telin POP Monitoring,CDN Sales Edgecast,0,GB,Edgio,MTD
202212,TVRI,CDN Sales Edgecast,1764321.48,GB,Edgio,MTD
202302,Telin POP Monitoring,CDN Sales Edgecast,0,GB,Edgio,MTD
202304,Hoobex,CDN Sales Edgecast,0,GB,Edgio,MTD
202306,TVRI,CDN Sales Edgecast,1539209.58,GB,Edgio,MTD
202308,Telin POP Monitoring,CDN Sales Edgecast,0,GB,Edgio,MTD
202311,TVRI,CDN Sales Edgecast,1949045.76,GB,Edgio,MTD
202401,TVRI,CDN Sales Edgecast,388117.5,GB,Edgio,MTD
202003,Hoobex,CDN Sales Edgecast,0,GB,Edgio,MTD
202003,Telin POP Monitoring,CDN Sales Edgecast,0,GB,Edgio,MTD
202005,TVRI,CDN Sales Edgecast,899958.06,GB,Edgio,MTD
202006,TVRI,CDN Sales Edgecast,1163395.62,GB,Edgio,MTD
202010,Telin POP Monitoring,CDN Sales Edgecast,0,GB,Edgio,MTD
202010,TVRI,CDN Sales Edgecast,902335.919999999,GB,Edgio,MTD
202011,Hoobex,CDN Sales Edgecast,0,GB,Edgio,MTD
202011,Telin POP Monitoring,CDN Sales Edgecast,0,GB,Edgio,MTD
202012,Hoobex,CDN Sales Edgecast,0,GB,Edgio,MTD
202101,Hoobex,CDN Sales Edgecast,0,GB,Edgio,MTD
202102,TVRI,CDN Sales Edgecast,1221321.6,GB,Edgio,MTD
202103,Hoobex,CDN Sales Edgecast,0,GB,Edgio,MTD
202104,TVRI,CDN Sales Edgecast,763123.440000001,GB,Edgio,MTD
202109,Hoobex,CDN Sales Edgecast,0,GB,Edgio,MTD
202109,Telin POP Monitoring,CDN Sales Edgecast,0,GB,Edgio,MTD
202204,Hoobex,CDN Sales Edgecast,0,GB,Edgio,MTD
202205,Hoobex,CDN Sales Edgecast,0,GB,Edgio,MTD
202210,TVRI,CDN Sales Edgecast,2196388.2,GB,Edgio,MTD
202308,Hoobex,CDN Sales Edgecast,0,GB,Edgio,MTD
202310,Telin POP Monitoring,CDN Sales Edgecast,0,GB,Edgio,MTD
202311,Telin POP Monitoring,CDN Sales Edgecast,0,GB,Edgio,MTD
202402,TVRI,CDN Sales Edgecast,117547.56,GB,Edgio,MTD
202008,Telin POP Monitoring,CDN Sales Edgecast,0,GB,Edgio,MTD
202008,TVRI,CDN Sales Edgecast,772165.14,GB,Edgio,MTD
202012,TVRI,CDN Sales Edgecast,837684.36,GB,Edgio,MTD
202101,Telin POP Monitoring,CDN Sales Edgecast,0,GB,Edgio,MTD
202108,Telin POP Monitoring,CDN Sales Edgecast,0,GB,Edgio,MTD
202110,Telin POP Monitoring,CDN Sales Edgecast,0,GB,Edgio,MTD
202110,TVRI,CDN Sales Edgecast,1707863.16,GB,Edgio,MTD
202111,Hoobex,CDN Sales Edgecast,0,GB,Edgio,MTD
202203,TVRI,CDN Sales Edgecast,1610857.32,GB,Edgio,MTD
202206,Telin POP Monitoring,CDN Sales Edgecast,0,GB,Edgio,MTD
202206,TVRI,CDN Sales Edgecast,1506501,GB,Edgio,MTD
202211,TVRI,CDN Sales Edgecast,1839639.48,GB,Edgio,MTD
202301,Hoobex,CDN Sales Edgecast,0,GB,Edgio,MTD
202301,TVRI,CDN Sales Edgecast,2003709.6,GB,Edgio,MTD
202303,Telin POP Monitoring,CDN Sales Edgecast,0,GB,Edgio,MTD
202307,TVRI,CDN Sales Edgecast,1580729.88,GB,Edgio,MTD
202310,Hoobex,CDN Sales Edgecast,0,GB,Edgio,MTD
202310,TVRI,CDN Sales Edgecast,1805631.66,GB,Edgio,MTD
202311,Hoobex,CDN Sales Edgecast,0,GB,Edgio,MTD
202003,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202004,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202005,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202006,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202007,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202008,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202009,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202010,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202011,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202012,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202101,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202102,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202103,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202104,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202105,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202106,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202107,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202108,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202109,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202110,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202111,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202112,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202201,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202202,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202203,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202204,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
202205,Hoobex,CDN Sales Edgecast,0,GB,Edgio,YTD
